,errands_car,errands_no_car,shopping_car,shopping_no_car,commuting_car,commuting_no_car,education_car,education_no_car,leisure_car,leisure_no_car,accompany_car,accompany_no_car,business_car,business_no_car
82310000,2.9699286499229824,4.66072761621246,3.7244884104936458,4.510580538409168,2.6443696619281747,1.3862943611198906,2.663270153277586,,2.030102655383309,1.5291318558031457,3.3100355260939427,,1.7804740484267303,
91890155,3.3410528569135733,,4.375410892254141,,3.6225057499800704,,,,1.9551218511274964,,3.4569204383464065,,,
91795131,4.335261595809352,,6.323123719693777,,2.94139069778371,,2.6292958727569875,,1.9562995152814968,,3.624959235286064,,,
10535318,4.0121797994486705,,5.544246363441794,6.407629499853394,3.2738217018822775,,3.546391544211775,,2.3548234860356367,,4.839840096175962,,1.925345795631666,
10530116,2.794332194404818,,3.248784099374084,,3.4410673195334582,,,,1.8206516379244455,,3.754058902327943,,,
71110000,3.1643004295674078,2.945896951867086,4.017222434844272,4.885610685694936,2.7261104601729933,1.3862943611198906,2.8257368527789226,,2.0350069335820598,1.6608789257418788,3.3538505708042283,,1.8896081670597242,
150820377,,,7.699041594169511,,,,,,,,,,,
65340018,2.678081559830389,,3.8557977689779737,,3.1953858074095045,,4.226661310193491,,2.1530522431563934,,4.481393997055874,,,
96755619,5.932686691465872,,8.452643729237034,,3.919804101512448,,5.091042413596813,,3.037047703835893,,5.004131426188358,,2.3687048270002666,
64400021,,,5.524472373554003,,,,,,,,,,,
10535391,6.169358117162893,,7.750413424018159,,3.5246214608521624,,4.881121946808083,,2.8622529124645397,,6.043699026118506,,,
53780004,3.7832918934371227,2.653945025937371,4.771168939716596,,2.8655484704650442,1.3862943611198906,2.977513683108701,,2.1500414791381335,1.6000204346979539,3.7551284612616156,,2.0075992108484995,
81155005,,,6.422346878855296,,,,,,,,,,,
146280360,,,,,,,,,2.63561223353861,,,,,
84355007,3.948362636117485,,5.023434022481728,4.777514990394541,3.0711796465564745,1.3862943611198906,4.3236644627635,3.62753300396709,2.214054318940252,2.073272284894989,4.372196993982232,,2.117829098863006,
95710145,6.300508648299832,,8.440703939714611,,3.752733949559432,,5.467327267584999,,2.993990645614614,,6.101093414821613,,2.5343865235038496,
