index,commuting_no_car,commuting_car,business_no_car,business_car,education_no_car,education_car,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
DED42_13,0.6922404246935979,0.6364766896382288,0.6940307263968886,0.6520945150147173,0.5704250906003411,0.5473833988924569,0.5896674973185272,0.579029401903106,0.5727423268631624,0.5590376736205378,0.5646793575858053,0.5535953805734866
DED42_2,0.6400637356443537,0.6113147425724659,0.6322532843937463,0.6252946763036533,0.6064237302887867,0.5796721179551658,0.6865447523849609,0.6542021911099065,0.6789699505874214,0.6419540141264384,0.6073941286087644,0.5894705310795272
DED42_3,0.5355877144644757,0.5818079606347646,0.5166267932945776,0.5786416336258381,0.5034831465628278,0.49987476302349954,0.6202538511553052,0.5993770021864331,0.560295453383062,0.5459072451834844,0.5095359907047008,0.5157402678555805
DED42_4,0.629173911026116,0.6078341857078874,0.5967355011956159,0.6008466250405092,0.6374979717475667,0.5980734801423605,0.7118987310545408,0.663727761183745,0.6269093285919844,0.5905643620221948,0.64109788008879,0.6070943260526241
DED42_5,0.5103007903877623,0.5729266853444968,0.4996686339383856,0.5741537460123842,0.6530487601059819,0.6263613947778591,0.7169485350088974,0.6813312914036174,0.6087301653768701,0.5878537371355622,0.6519007904171761,0.6320032377768523
DED42_6,0.7424405316279449,0.6493844977730641,0.7175801855819692,0.6631618944429315,0.6207708670255501,0.5847588937122018,0.6804322741683234,0.6422089691917812,0.7036072487187798,0.6569386152692984,0.6100811985462357,0.5857115762141176
DED42_7,0.5455477430440179,0.56035517788403,0.5406105433879831,0.5714730644376814,0.5249282830524974,0.5112243649169552,0.6530664073539126,0.6213895702217946,0.7004227729020808,0.6526217320318353,0.5529609043349765,0.5431804058408497
DED42_8,0.6482898474166805,0.6211862363290712,0.6325563515330489,0.6164028339096327,0.559945685650034,0.538793916444532,0.5899213955377808,0.5667750747903116,0.5048826642907231,0.49366053583219,0.5451641205409686,0.5349981290525981
DED42_9,0.5056380549031091,0.5723412134062346,0.4875318402189844,0.5693112115725957,0.4458347181891464,0.4546647980290306,0.5731353542319364,0.5650125307473255,0.49362237398975145,0.49622671479629377,0.5044772929300481,0.5141583292757884
DED43_0,0.7984902575220807,0.7049958054207051,0.7918901995725566,0.7069590948523502,0.7779753392040396,0.728360563702149,0.8266793393338696,0.7732041629751649,0.7048057427107159,0.6627344839072862,0.8105137466197344,0.7600948969801559
DED43_1,0.7265375588158568,0.6605690278685815,0.7348707578661408,0.6657091006829805,0.6675235994499069,0.6326716817771724,0.618288680679648,0.5945400524752692,0.6684089367195605,0.6276860712437445,0.7286251430950181,0.6880198815151405
DED43_10,0.4124949836770979,0.505163083294006,0.40370587595679946,0.5063168009974779,0.41974697353927576,0.42526116921154555,0.374542498625155,0.4008945826194568,0.47036076767474133,0.4660843278927485,0.4169748202326746,0.4348304572963188
DED43_11,0.512804013536177,0.5646685810882235,0.49095817828481003,0.5662514795545266,0.6524540310839423,0.6216229746031491,0.6648347805642534,0.6347535059364193,0.6037569438725731,0.579977443379089,0.6866772554155649,0.6560029237538331
DED43_12,0.6144145174019401,0.6074544599377372,0.6054540602585903,0.604641851460649,0.47510481159744555,0.47290195273207264,0.6454634890102848,0.6127092582639312,0.5402250623010763,0.522057317160651,0.48710864086120337,0.4924213967192422
DED43_2,0.6834226556208243,0.642375788319696,0.6857856021946148,0.6512612062260129,0.7007248394976575,0.6637009888378023,0.7595074752563395,0.715660813847587,0.7251820535920991,0.680876293291383,0.73100309051941,0.6933206843930695
DED43_3,0.7637943204048773,0.6892971433474526,0.7713784025983322,0.6899375570464553,0.6589685232352416,0.6269974573533742,0.6647212721630581,0.6333007012931936,0.5892522709259229,0.5664948236234065,0.6250515263407123,0.6049062812892241
DED43_4,0.6360950801846231,0.5964965895378548,0.6094425733599147,0.5963464932698885,0.6042809507800689,0.5663039511698895,0.7498398569557109,0.6933329894850203,0.6943800997515559,0.6416065246418096,0.6450985269097268,0.606032387297351
