,root,Fz1,Fz2,Fz3,Fz4,Fz6,root,Fz1,Fz2,Fz3,Fz4,Fz6,root,Fz1,Fz2,Fz3,Fz4,Fz6,root,Fz1,Fz2,Fz3,Fz4,Fz6
,all,all,all,all,all,all,PT,PT,PT,PT,PT,PT,air,air,air,air,air,air,car,car,car,car,car,car
39,8.789,8.604999999999999,7.013,10.491999999999999,10.102,7.702999999999999,6.987,6.151,7.199,10.622,7.941999999999999,6.327,19.16,19.16,19.16,19.16,24.47,15.83,8.953000000000001,8.749,6.158,12.053,10.171,7.702999999999999
40,8.89,8.7,7.13,10.6,10.19,7.77,7.06,6.2,7.36,10.67,8.02,6.38,19.16,19.16,19.16,19.16,24.47,15.83,9.05,8.84,6.21,12.17,10.26,7.77
41,8.955,8.761,7.227,10.668,10.248,7.811999999999999,7.106999999999999,6.231,7.497,10.701,8.074,6.413,19.16,19.16,19.16,19.16,24.47,15.83,9.113000000000001,8.897,6.243,12.245,10.318,7.811999999999999
42,9.02,8.822,7.324,10.735999999999999,10.306,7.853999999999999,7.154,6.2620000000000005,7.634,10.732,8.128,6.446,19.16,19.16,19.16,19.16,24.47,15.83,9.176,8.954,6.276,12.32,10.376,7.853999999999999
43,9.085,8.883,7.420999999999999,10.804,10.363999999999999,7.896,7.201,6.293,7.771000000000001,10.763,8.182,6.479,19.16,19.16,19.16,19.16,24.47,15.83,9.239,9.011,6.309,12.395,10.434,7.896
44,9.15,8.943999999999999,7.518,10.872,10.421999999999999,7.938,7.248,6.324,7.908,10.794,8.236,6.512,19.16,19.16,19.16,19.16,24.47,15.83,9.302,9.068,6.342,12.47,10.491999999999999,7.938
45,9.215,9.004999999999999,7.615,10.94,10.48,7.9799999999999995,7.295,6.355,8.045,10.825,8.29,6.545,19.16,19.16,19.16,19.16,24.47,15.83,9.365,9.125,6.375,12.545,10.55,7.9799999999999995
46,9.28,9.066,7.712,11.008,10.538,8.022,7.342,6.386,8.182,10.856,8.344,6.578,19.16,19.16,19.16,19.16,24.47,15.83,9.428,9.182,6.408,12.62,10.608,8.022
47,9.344999999999999,9.127,7.808999999999999,11.075999999999999,10.596,8.064,7.389,6.417,8.319,10.887,8.398,6.611,19.16,19.16,19.16,19.16,24.47,15.83,9.491,9.239,6.441,12.695,10.666,8.064
48,9.41,9.188,7.906,11.144,10.654,8.106,7.436,6.4479999999999995,8.456,10.918000000000001,8.452,6.644,19.16,19.16,19.16,19.16,24.47,15.83,9.554,9.296,6.474,12.77,10.724,8.106
49,9.475,9.249,8.003,11.212,10.712,8.148,7.4830000000000005,6.479,8.593,10.949,8.506,6.677,19.16,19.16,19.16,19.16,24.47,15.83,9.616999999999999,9.353,6.507,12.845,10.782,8.148
50,9.54,9.31,8.1,11.28,10.77,8.19,7.53,6.51,8.73,10.98,8.56,6.71,19.16,19.16,19.16,19.16,24.47,15.83,9.68,9.41,6.54,12.92,10.84,8.19
51,9.597999999999999,9.365,8.208,11.341999999999999,10.824,8.229,7.572,6.539,8.885,11.008000000000001,8.612,6.741,19.16,19.16,19.16,19.16,24.47,15.83,9.736,9.463000000000001,6.569,12.988,10.892,8.229
52,9.655999999999999,9.42,8.315999999999999,11.404,10.878,8.267999999999999,7.614,6.568,9.040000000000001,11.036,8.664,6.772,19.16,19.16,19.16,19.16,24.47,15.83,9.792,9.516,6.598,13.056,10.943999999999999,8.267999999999999
53,9.713999999999999,9.475,8.424,11.466,10.932,8.307,7.656000000000001,6.5969999999999995,9.195,11.064,8.716000000000001,6.803,19.16,19.16,19.16,19.16,24.47,15.83,9.847999999999999,9.568999999999999,6.627,13.124,10.996,8.307
54,9.771999999999998,9.53,8.532,11.528,10.986,8.346,7.698,6.6259999999999994,9.35,11.092,8.768,6.834,19.16,19.16,19.16,19.16,24.47,15.83,9.904,9.622,6.656,13.192,11.048,8.346
55,9.829999999999998,9.585,8.64,11.59,11.04,8.385,7.74,6.654999999999999,9.504999999999999,11.120000000000001,8.82,6.865,19.16,19.16,19.16,19.16,24.47,15.83,9.96,9.675,6.6850000000000005,13.26,11.1,8.385
56,9.888,9.64,8.748,11.652,11.094,8.424,7.782,6.684,9.66,11.148,8.872,6.896,19.16,19.16,19.16,19.16,24.47,15.83,10.016,9.728,6.714,13.328,11.152,8.424
