index,education_many,education_few,shopping_many,shopping_few,leisure_many,leisure_few,accompany
31590002,12,0,25,0,55,3,16
31590003,12,0,59,1,52,2,24
31590004,16,0,37,1,41,2,26
31590007,79,0,76,7,100,1,87
31590010,53,2,123,3,83,7,70
31590013,32,2,28,0,80,1,28
31590015,46,3,53,3,127,2,63
31590016,492,301,959,92,752,34,901
31590017,50,2,107,3,132,4,68
31590019,30,0,86,1,63,7,36
31590026,34,2,97,2,82,8,57
31590029,76,2,70,24,120,6,82
31590034,18,0,13,0,23,0,9
31590036,7,0,16,0,44,2,8
31595401,43,0,38,1,139,1,35
31595402,54,0,47,0,50,2,55
31595403,19,0,22,1,38,2,14
31595404,22,0,19,1,27,1,19
31599501,0,0,1,0,25,3,0
32410001,891,210,1885,111,1315,118,1094
32410002,45,0,93,0,69,8,51
32410003,43,0,89,2,67,5,60
32410004,32,0,59,0,45,2,35
32410005,75,15,172,3,103,7,95
32410006,33,0,39,3,46,1,34
32410007,49,0,46,1,44,3,27
32410008,23,1,78,2,41,2,25
32410009,45,0,127,6,90,3,60
32410010,109,0,185,7,118,7,98
32410011,45,0,135,0,85,9,67
32410012,86,0,112,2,145,5,81
32410013,24,0,43,1,62,3,23
32410014,49,1,56,0,59,3,44
32410015,51,0,57,0,61,3,50
32410016,22,0,43,7,72,3,35
32410017,58,2,81,0,99,9,59
32410018,23,0,55,1,52,1,29
32410019,52,0,112,0,63,2,57
32410020,41,0,46,0,58,8,31
32410021,50,0,167,29,119,5,84
32510007,22,0,51,3,53,3,33
32510012,34,2,80,1,42,5,52
32510037,25,0,139,2,67,2,35
32510040,20,0,50,3,37,6,26
32510041,55,0,88,1,61,7,72
32510042,18,0,39,1,29,2,22
32510044,15,0,34,0,70,5,12
32510047,35,1,77,1,63,7,39
32515401,17,0,41,1,49,5,13
32515402,19,0,30,0,34,2,19
32515403,29,1,66,0,51,3,25
32515404,14,0,21,0,27,2,19
32515405,16,0,22,1,10,1,19
32515406,8,0,11,0,26,1,12
32515407,10,0,13,0,17,2,7
32520001,9,0,17,3,40,5,11
32520002,21,1,45,11,77,4,41
32520003,28,0,87,12,95,6,47
32520004,11,0,16,4,27,4,12
32520005,16,0,17,0,21,1,21
32520006,68,3,217,3,202,11,109
32520007,21,0,39,5,55,5,26
32520008,16,0,29,0,75,7,16
32540002,29,1,68,1,50,2,39
32540003,12,0,19,0,18,1,18
32540005,14,0,45,2,64,4,22
32540008,21,0,42,0,25,3,25
32540011,9,0,7,0,26,0,12
32540014,35,1,27,0,36,3,17
32540017,11,0,17,0,30,2,12
32540020,17,0,28,0,40,1,21
32540021,121,33,375,7,275,16,228
32540022,10,0,18,1,41,5,12
32540026,12,0,35,0,28,2,13
32540028,18,10,40,0,43,2,23
32540029,7,0,15,0,17,4,6
32540032,15,0,36,0,28,5,17
32540042,13,0,11,0,23,0,7
32540044,5,0,19,0,24,1,6
32540045,3,0,11,0,29,2,6
32545406,74,0,73,0,81,8,45
32550008,17,0,26,0,27,4,14
32550023,31,6,83,4,86,7,55
32555401,12,0,19,0,25,1,18
32555403,11,0,23,0,27,2,11
32555408,13,0,38,0,79,1,12
32555409,23,1,54,0,53,7,15
32559501,0,0,0,0,3,0,0
32559502,0,0,0,0,1,0,0
32559503,0,0,0,0,3,0,0
32559504,0,0,0,0,5,0,0
32559505,1,0,0,0,1,0,1
32559506,0,0,0,0,2,0,0
32559508,0,0,0,0,1,0,0
32560022,50,2,184,6,85,11,78
32560025,19,1,33,4,44,3,17
32560030,7,0,13,0,26,2,4
32565402,10,0,8,0,17,1,11
32565411,8,0,11,0,23,5,7
32565412,24,0,36,0,35,11,15
32565407,14,0,17,0,63,4,15
32565408,30,0,56,0,36,3,20
32565409,24,1,55,1,76,5,30
32565410,29,0,53,3,75,2,31
32570003,8,0,21,0,14,1,6
32570009,34,0,96,1,59,6,35
32570028,36,0,41,2,30,2,21
32570031,34,1,112,5,98,6,54
32570035,53,0,92,10,74,9,42
32575401,12,0,22,2,19,1,11
32575402,19,0,33,0,26,2,14
32575403,36,0,85,11,71,2,48
32575404,19,0,27,1,24,0,18
32575405,16,0,17,0,21,0,13
32575406,38,0,36,1,49,2,29
32575407,30,0,26,2,31,1,13
33510004,20,0,79,2,43,2,30
33510006,91,6,273,10,181,6,149
33510010,6,0,34,0,62,3,10
33510012,13,0,16,0,11,1,14
33510023,4,0,11,0,14,1,5
33510024,17,0,29,0,39,2,16
33510025,7,0,20,0,44,4,11
33510026,23,1,40,0,46,2,19
33515402,16,0,39,0,40,3,17
33515403,17,0,41,0,50,3,31
33515404,14,0,38,0,30,2,20
33519501,0,0,0,0,5,0,0
33520011,58,1,226,7,223,13,72
33520032,53,0,55,3,37,0,32
33520050,24,0,37,0,28,1,22
33520059,10,0,43,1,47,5,17
33520060,15,0,35,1,48,1,21
33520061,27,0,61,1,118,5,29
33520062,56,2,99,6,131,2,67
33525404,20,0,29,0,33,1,13
33525407,15,1,51,0,52,3,24
33525411,56,4,113,3,135,12,58
33530005,91,1,238,9,99,7,202
33530026,37,0,63,1,43,2,45
33530029,54,0,40,11,129,6,38
33530031,50,0,76,1,83,6,56
33530032,9,0,25,1,18,1,13
33530040,56,1,114,10,69,3,69
33535401,31,0,51,0,44,1,29
33535402,28,1,38,0,82,5,24
33535403,19,0,50,0,49,3,25
33535404,11,0,23,8,61,3,22
33535405,34,0,48,1,38,5,22
33535406,62,0,111,2,147,5,103
33545403,8,1,13,0,38,2,8
33545406,42,1,98,1,121,8,64
33545407,61,0,114,1,121,5,64
33549501,0,0,0,0,3,1,0
33549502,0,0,0,0,1,0,0
33550001,25,0,66,0,29,3,23
33550009,17,0,36,0,56,4,23
33550022,180,39,419,17,223,18,266
33550049,14,0,17,0,32,2,13
33555401,8,0,36,0,37,2,9
33555402,31,0,52,0,29,1,27
33555403,10,0,12,0,19,1,11
33555404,12,0,22,0,21,1,9
33555405,23,0,23,0,26,1,30
33555406,17,0,18,0,46,0,18
33555407,50,0,39,0,53,2,73
33560002,11,0,30,1,20,0,12
33560005,20,1,81,1,52,5,33
33560007,37,1,82,2,97,6,57
33560008,19,1,64,0,43,1,25
33560009,23,0,46,4,62,4,30
33560011,10,0,41,0,45,2,11
33565401,11,0,27,1,31,0,15
33570008,28,0,91,1,64,3,49
33570016,12,0,25,0,26,1,16
33570039,33,0,73,11,51,2,51
33570041,26,0,51,2,72,2,41
33570051,10,0,34,0,30,3,12
33575401,13,0,14,0,32,2,17
33575402,24,0,25,0,59,4,26
33575403,10,0,5,0,20,0,12
33575404,14,0,11,0,23,1,15
33575405,18,0,50,3,52,1,27
33575406,22,0,34,0,59,0,23
33575407,21,0,32,0,34,2,22
33575408,24,1,68,3,57,5,30
33580002,15,0,51,1,84,4,28
33580008,36,0,52,2,41,2,23
33580016,16,0,54,0,52,4,28
33580017,13,0,22,0,26,1,6
33580019,42,1,93,1,121,5,55
33580021,49,1,231,8,147,7,66
33580023,8,0,11,0,18,2,9
33580024,100,1,166,4,114,7,81
33585401,10,0,16,0,154,2,11
33585402,5,0,18,0,22,0,6
33585403,19,0,74,2,49,3,23
33589501,2,0,0,0,1,0,2
33590010,54,5,146,15,85,3,75
33590013,6,0,21,0,30,1,8
33590028,15,0,39,1,41,0,18
33590038,62,3,218,13,140,5,109
33595401,5,0,26,0,26,1,11
33595402,19,0,33,0,46,1,18
33595403,34,0,57,1,76,6,42
33595405,14,0,72,0,27,2,25
33595406,18,0,21,0,32,3,14
33595407,13,0,18,0,42,3,14
33595409,21,0,31,0,56,0,23
33600004,4,0,13,0,20,2,3
33600025,40,0,135,9,79,10,70
33605404,8,0,12,0,11,1,7
33605405,21,1,19,0,27,2,27
