index,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
DE80J_0,954092.3202265076,15266329.804162318,1134825.276302113,14264504.521566465,102217.53574667264,3982071.850428912
DE80J_1,362380.39106049883,5970939.774272003,405989.1230331925,5091206.805928382,40161.91166566784,1385837.1779633348
DE80J_2,113664.8333899121,2613705.9643353396,115200.50236726172,2072815.169127925,13788.996603554282,578628.5619907563
DE80J_3,446127.2367013416,7486003.627432434,510499.1778524816,6574319.826909697,50813.7634384208,1785226.3954922333
DE80J_4,173398.13434981773,2867560.5227333237,180298.42655596003,2297457.072999459,20103.460033224637,611215.9347787465
DE80J_5,141616.64652135895,3220973.841101345,144523.88582893828,2583618.4982777354,16423.71343811562,727396.4666940816
DE80J_6,35943.67319958824,827879.7263928966,33381.32674416725,587574.0591459582,5440.02090787409,161510.7348559527
DE80J_7,187431.9827450031,2968065.1075663073,193998.5852280804,2393573.1754417284,21114.74529401587,644485.4188065294
DE80J_8,111172.90494336214,1911657.4835199162,114126.77800532237,1485449.5068501597,14130.949733866935,389744.4817523981
DE80K_0,231683.5091544886,3866670.831411933,247380.61970147127,3173674.2627280485,26177.099814873065,851387.6359525635
DE80K_1,470989.29777540104,8049183.276282739,540591.3611103668,7012042.847679941,53259.22235272456,1919089.0990121495
DE80K_2,229388.16301452625,3782791.54980581,246404.13630958134,3108074.170631695,26039.209729049187,834388.9197497934
DE80K_3,258346.96003196904,4312293.588695429,282308.34785683703,3578229.801857305,29472.537022743807,962938.786991023
DE80K_4,244592.12471452402,3991230.171239382,263553.5442940598,3296972.322931209,27422.191460127324,887376.7497033098
DE80K_5,123576.14987014589,2900171.8457970717,128668.15703246294,2309011.8376108296,15101.818878271806,648506.5523446547
DE80K_6,318499.3703240337,5238607.565321284,351361.90756530414,4429611.87847099,35356.68233757216,1199005.5596890505
DE80K_7,99652.24429217806,2336336.671875323,101305.5361223174,1833972.708910151,12478.3719058098,510598.5529539756
DE80K_8,170247.19616413375,2842533.9546706057,178456.0859850154,2268469.7955369903,19919.98331603862,604940.4965937233
