index,shopping_no_car,shopping_car,errands_no_car,errands_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
91840140,34100.86129725584,1069294.5760809022,41222.60028409754,881364.6931647024,56406.4193674881,1534422.7896498395,11030.198531923159,548617.4635946305
91840141,23695.55029522868,1320709.9941875997,28061.530679532334,1004039.161490581,15900.229023660202,1629232.0781623835,249.26757075811574,726798.8433400685
91840142,30707.84370116911,962900.3334130619,37120.97343950965,793669.3740814254,50794.01058467721,1381748.536652677,9932.699633554952,494030.31720936164
91840144,9479.375435024442,528348.3911413582,11225.980459559376,401664.61823648063,6360.8668522248645,651772.2672512119,99.7191817684222,290754.97365213366
91840145,92863.16756119087,2911893.647650011,112257.02495080954,2400124.6323493198,153605.46842467485,4178526.735230278,30037.340276376217,1493990.2838431664
91840146,75701.53282976437,2373759.3531806595,91511.29648992138,1956568.12515677,125218.31546527466,3406311.534857433,24486.27115322727,1217892.4916079193
91840147,58115.77089882703,1822325.778377828,70252.86467345973,1502049.7030788104,96129.61140802309,2615012.052859942,18798.01466778229,934971.3060745137
91840148,130517.38722508021,4092610.2431101915,157775.07895782153,3373328.7831515395,215889.51711196642,5872838.567271964,42216.90122168194,2099774.4693382233
91840149,149085.88291098172,4674859.223563769,180221.48196402664,3853246.764110326,246603.76639594673,6708357.726204609,48223.03086366649,2398505.956416143
91849452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91849454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91849457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91850113,7830.515319778316,457713.20565111033,16211.96673556825,407653.9981830957,17874.61498924748,661252.2340058559,1116.954732482021,286258.8114754369
91850125,18317.037105186842,762153.5067706767,12465.381091684685,576047.845760873,17463.53518316249,931933.9698847036,2613.7645977925,342283.14522930514
91850127,15447.030628374141,642735.4214004205,10512.241822291438,485789.7413090589,14727.259725734379,785913.818581222,2204.2266751770567,288652.48225304496
91850139,17237.32863992257,960750.5174685026,20413.361176919672,730388.3125031433,11566.621990882993,1185184.9149772192,181.32970042472388,528709.8363058908
91850140,14334.594845833732,798961.9333438637,16975.7894639833,607392.2913795409,9618.8245544156,985601.9995026706,150.7941191702253,439676.0920888298
91850149,153420.25599866567,4810771.381118114,185461.06015878983,3965272.186963659,253773.27639593993,6903389.775002813,49625.018785667344,2468237.707438788
91850150,12540.592475551122,521801.450602333,8534.30952973241,394385.9063352895,11956.250165179536,638040.0969508977,1789.4901047427988,234341.03512052758
91850153,20033.37384167286,833568.5535929458,13633.407960828179,630024.4836841018,19099.897374910754,1019257.7275048394,2858.678672812173,374355.64325742127
91850158,46435.4100215172,2714265.8571893377,96137.90304705281,2417411.8534358195,105997.50362610388,3921264.1007355102,6623.606347755034,1697531.3552557384
91850163,14109.30804390445,786405.2074118023,16708.992853427044,597846.3315311419,9467.652216062907,970111.982182258,148.42419346092092,432766.0104481027
91850168,7035.880121791451,392156.20987822925,8332.263375833832,298127.6691115377,4721.228413168729,483765.1563144279,74.01460292135177,215807.16508732407
91855154,10175.453887139278,567145.4545981124,12050.313576790884,431159.1864860211,6827.950615596647,699632.4489719744,107.0416445369139,312105.3541061752
91855155,38832.1186629961,1615765.4343538347,26426.607914371532,1221221.4330130508,37022.69458830448,1975700.0161555717,5541.1809473201,725640.267886127
91860113,28659.61966450699,898674.5405830852,34644.991380886466,740731.3460982278,47406.03211212673,1289585.4205141456,9270.18505466195,461078.3203060591
91860125,10643.357244992403,593224.8084570094,12604.42961410003,450985.4107865421,7141.923933713779,731804.0234066776,111.96379793316144,326457.06212922384
91860128,13759.824671680819,766926.1838505272,16295.116060128235,583037.8553560614,9233.141280926036,946082.5963390535,144.7477702452052,422046.52482594905
91860132,9098.120847144119,507098.5472563309,10774.478503233404,385509.91695457464,6105.03674116646,625558.3917858982,95.70853826036866,279060.989337057
91860137,66153.49855784957,2074363.3593318278,79969.2185095719,1709791.358346207,109424.86026242572,2976682.463161148,21397.882484953316,1064282.9302859586
91860139,8898.828676206676,495990.67431643035,10538.466116972102,377065.41401176015,5971.307364931385,611855.6841563022,93.6120655175225,272948.22480872145
91860143,135886.21689693697,4260959.669770585,164265.15314178835,3512090.5837741634,224770.12735062148,6114417.644422963,43953.49246635602,2186148.6430393043
91860146,14715.849433714056,820211.7772288908,17427.29142030927,623546.9926614468,9874.654665474005,1011815.8749679845,154.80476267827885,451370.0764039065
